run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
interp__vit_b__linear_probe__pets__s42__f100__r8__a64__p20,interp,linear_probe,pets,vit_b,1.0,37,20,128,0.001,42,28453,85827109,0.0332,92.341,92.123,1751.6,279.0,13.9,257.0,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__bitfit__pets__s42__f100__r8__a64__p20,interp,bitfit,pets,vit_b,1.0,37,20,128,0.001,42,131365,85827109,0.1531,94.467,94.331,6348.2,441.4,22.1,162.4,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__ssf__pets__s42__f100__r8__a64__p20,interp,ssf,pets,vit_b,1.0,37,20,128,0.002,42,102181,85900837,0.119,94.44,94.44,8900.3,505.1,25.3,141.9,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__vpt__pets__s42__f100__r8__a64__p20,interp,vpt,pets,vit_b,1.0,37,20,128,0.005,42,43813,85842469,0.051,93.786,93.677,6873.9,451.0,22.6,158.9,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__lora__pets__s42__f100__r8__a64__p20,interp,lora,pets,vit_b,1.0,37,20,128,0.001,42,323365,86122021,0.3755,94.876,94.821,7126.7,497.4,24.9,144.1,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__adaptformer__pets__s42__f100__r8__a64__p20,interp,adaptformer,pets,vit_b,1.0,37,20,128,0.001,42,1218097,87016753,1.3998,95.067,95.012,6830.3,450.6,22.5,159.1,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__lora_ssf__pets__s42__f100__r8__a64__p20,interp,lora_ssf,pets,vit_b,1.0,37,20,128,0.001,42,397093,86195749,0.4607,94.93,94.74,9800.2,1053.7,52.7,68.0,vit_base_patch16_224.augreg_in21k,8,64,20
interp__vit_b__full_ft__pets__s42__f100__r8__a64__p20,interp,full_ft,pets,vit_b,1.0,37,20,128,0.0001,42,85827109,85827109,100.0,93.84,93.84,9592.8,723.7,36.2,99.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__dtd__s42__f5__r8__a64__p20,fracEff,linear_probe,dtd,vit_b,0.05,47,20,128,0.001,42,36143,85834799,0.0421,36.436,36.383,1751.8,141.4,7.1,18.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__dtd__s42__f10__r8__a64__p20,fracEff,linear_probe,dtd,vit_b,0.1,47,20,128,0.001,42,36143,85834799,0.0421,54.947,54.681,1751.8,138.8,6.9,36.9,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__dtd__s42__f25__r8__a64__p20,fracEff,linear_probe,dtd,vit_b,0.25,47,20,128,0.001,42,36143,85834799,0.0421,67.713,66.223,1751.8,150.4,7.5,119.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__dtd__s42__f50__r8__a64__p20,fracEff,linear_probe,dtd,vit_b,0.5,47,20,128,0.001,42,36143,85834799,0.0421,72.713,72.394,1751.8,182.9,9.1,195.9,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__dtd__s42__f5__r8__a64__p20,fracEff,bitfit,dtd,vit_b,0.05,47,20,128,0.001,42,139055,85834799,0.162,39.628,39.628,6348.3,141.1,7.1,18.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__dtd__s42__f10__r8__a64__p20,fracEff,bitfit,dtd,vit_b,0.1,47,20,128,0.001,42,139055,85834799,0.162,55.904,55.532,6348.6,146.9,7.3,34.9,vit_base_patch16_224.augreg_in21k,8,64,20
